group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
main,,,,,51873600.0,ns,2
main,,,,,46856100.0,ns,2
main,,,,,36219200.0,ns,2
main,,,,,62712500.0,ns,2
main,,,,,51906500.0,ns,2
main,,,,,50005700.0,ns,2
main,,,,,48843900.0,ns,2
main,,,,,51031200.0,ns,2
main,,,,,48546900.0,ns,2
main,,,,,37657300.0,ns,2
main,,,,,45488600.0,ns,2
main,,,,,49848100.0,ns,2
main,,,,,50895200.0,ns,2
main,,,,,36258100.0,ns,2
main,,,,,45791100.0,ns,2
main,,,,,38466900.0,ns,2
main,,,,,59545400.0,ns,2
main,,,,,35930400.0,ns,2
main,,,,,50694200.0,ns,2
main,,,,,49070100.0,ns,2
main,,,,,52621700.0,ns,2
main,,,,,50270500.0,ns,2
main,,,,,45456400.0,ns,2
main,,,,,52726900.0,ns,2
main,,,,,50005600.0,ns,2
main,,,,,37288800.0,ns,2
main,,,,,45905500.0,ns,2
main,,,,,53250000.0,ns,2
main,,,,,60017600.0,ns,2
main,,,,,38887400.0,ns,2
main,,,,,43579800.0,ns,2
main,,,,,49800000.0,ns,2
main,,,,,54675900.0,ns,2
main,,,,,49764100.0,ns,2
main,,,,,51028400.0,ns,2
main,,,,,52397100.0,ns,2
main,,,,,59455000.0,ns,2
main,,,,,50413700.0,ns,2
main,,,,,54065700.0,ns,2
main,,,,,63506100.0,ns,2
main,,,,,39085400.0,ns,2
main,,,,,64048200.0,ns,2
main,,,,,52661000.0,ns,2
main,,,,,59710300.0,ns,2
main,,,,,39742900.0,ns,2
main,,,,,47413000.0,ns,2
main,,,,,49869900.0,ns,2
main,,,,,50516500.0,ns,2
main,,,,,63215200.0,ns,2
main,,,,,39559200.0,ns,2
main,,,,,167253600.0,ns,2
main,,,,,66414300.0,ns,2
main,,,,,49863000.0,ns,2
main,,,,,50540200.0,ns,2
main,,,,,60286200.0,ns,2
main,,,,,54640600.0,ns,2
main,,,,,59677100.0,ns,2
main,,,,,41089300.0,ns,2
main,,,,,46864200.0,ns,2
main,,,,,49470000.0,ns,2
main,,,,,50658400.0,ns,2
main,,,,,50070800.0,ns,2
main,,,,,35057600.0,ns,2
main,,,,,48757800.0,ns,2
main,,,,,61185900.0,ns,2
main,,,,,53835100.0,ns,2
main,,,,,64372400.0,ns,2
main,,,,,48805300.0,ns,2
main,,,,,37900300.0,ns,2
main,,,,,46658800.0,ns,2
main,,,,,49559200.0,ns,2
main,,,,,52087700.0,ns,2
main,,,,,50770500.0,ns,2
main,,,,,62753100.0,ns,2
main,,,,,54064900.0,ns,2
main,,,,,54153300.0,ns,2
main,,,,,50089500.0,ns,2
main,,,,,48902400.0,ns,2
main,,,,,62613700.0,ns,2
main,,,,,50118200.0,ns,2
main,,,,,36746900.0,ns,2
main,,,,,60267300.0,ns,2
main,,,,,52724000.0,ns,2
main,,,,,49894900.0,ns,2
main,,,,,49804300.0,ns,2
main,,,,,47386300.0,ns,2
main,,,,,34101200.0,ns,2
main,,,,,50624300.0,ns,2
main,,,,,49100000.0,ns,2
main,,,,,51544300.0,ns,2
main,,,,,52052700.0,ns,2
main,,,,,48403600.0,ns,2
main,,,,,49151700.0,ns,2
main,,,,,49433900.0,ns,2
main,,,,,40162900.0,ns,2
main,,,,,60353800.0,ns,2
main,,,,,55352700.0,ns,2
main,,,,,49199800.0,ns,2
main,,,,,45100300.0,ns,2
main,,,,,52527100.0,ns,2
